Date,"HHS Region 1 (CT, ME, MA, NH, RI, VT)","HHS Region 2 (NJ, NY)","HHS Region 3 (DE, DC, MD, PA, VA, WV)","HHS Region 4 (AL, FL, GA, KY, MS, NC, SC, TN)","HHS Region 5 (IL, IN, MI, MN, OH, WI)","HHS Region 6 (AR, LA, NM, OK, TX)","HHS Region 7 (IA, KS, MO, NE)","HHS Region 8 (CO, MT, ND, SD, UT, WY)","HHS Region 9 (AZ, CA, HI, NV)","HHS Region 10 (AK, ID, OR, WA)"
10/12/2008,658,1265,1853,1018,1168,2160,641,557,1413,1264
10/19/2008,764,1359,2025,1186,1319,2429,735,608,1537,1307
10/26/2008,767,1366,2166,1323,1424,2768,867,644,1547,1529
11/2/2008,872,1502,2354,1435,1494,2730,832,733,1635,1462
11/9/2008,929,1639,2594,1640,1736,3045,1012,792,1930,1843
11/16/2008,988,1674,2582,1620,1761,3145,1050,813,1946,1811
11/23/2008,812,1419,2375,1499,1542,2637,1034,753,1608,1398
11/30/2008,1136,1705,2576,1758,1823,3112,1087,849,1990,1764
12/7/2008,956,1707,2428,1606,1693,3004,1090,811,1931,1692
12/14/2008,913,1697,2452,1629,1578,2950,892,720,1749,1558
12/21/2008,920,1649,2602,1564,1794,3221,1099,819,1915,1220
12/28/2008,1105,1911,2668,1584,1841,3444,1040,835,2187,1349
1/4/2009,1025,2133,2545,1418,1703,3055,894,798,2293,1437
1/11/2009,1030,1882,2436,1345,1557,3157,896,689,2136,1431
1/18/2009,1147,2075,2712,1464,1710,4114,892,807,2238,1475
1/25/2009,1562,2437,3027,1782,1979,5133,984,941,2320,1707
2/1/2009,2298,3082,3584,2222,2297,7124,1216,1223,2637,2221
2/8/2009,2999,3590,4025,2875,2595,7224,1330,1398,2648,2578
2/15/2009,3318,3448,4157,2960,2756,5694,1505,1653,2958,3100
2/22/2009,2540,2863,4359,3212,2775,5136,1738,1609,2983,3498
3/1/2009,1717,2591,3897,3167,2786,4411,2059,1635,2575,3339
3/8/2009,1243,2209,3118,2618,2376,3417,1801,1398,2305,3151
3/15/2009,1019,1862,2697,1993,2123,2733,1503,1353,2268,3287
3/22/2009,973,1685,2375,1591,1854,2367,1169,1065,1877,2737
3/29/2009,735,1327,1949,1260,1494,2124,923,884,1740,2026
4/5/2009,648,1106,1725,1028,1241,1696,783,699,1664,1577
4/12/2009,548,1026,1650,934,1179,1766,748,615,1579,1329
4/19/2009,602,1007,1640,935,1161,2057,646,652,1672,1403
4/26/2009,1885,2969,3030,1817,2495,4491,1470,1713,4172,4232
5/3/2009,1094,1726,2451,1576,1752,3302,873,1093,2624,2495
5/10/2009,870,1793,2070,1166,1551,2517,766,774,2272,2321
5/17/2009,1175,2850,1958,1095,1525,2378,685,687,1907,2090
5/24/2009,1055,2929,1781,940,1382,2033,558,637,1762,1695
5/31/2009,1183,2981,1711,868,1305,1751,479,685,1649,1397
6/7/2009,1278,3241,1993,863,1520,1743,421,768,1863,1352
6/14/2009,1235,3044,2140,955,1282,1746,395,829,2104,1267
6/21/2009,925,2373,2163,938,934,1787,434,719,2099,1199
6/28/2009,675,1490,1940,966,846,1666,470,501,2164,1032
7/5/2009,552,1062,1686,938,766,1434,412,436,2092,1036
7/12/2009,450,932,1551,1017,738,1423,408,418,1921,858
7/19/2009,383,802,1492,1048,739,1701,421,382,1747,928
7/26/2009,397,838,1498,1196,775,1801,507,405,1740,932
8/2/2009,385,813,1470,1159,778,1895,489,374,1579,885
8/9/2009,389,833,1440,1175,774,1926,540,426,1518,1001
8/16/2009,390,873,1553,1492,836,2306,603,466,1608,947
8/23/2009,477,1019,1840,2121,1075,3042,892,711,1968,1201
8/30/2009,753,1397,2578,2985,1635,4250,1410,1118,2259,1782
9/6/2009,1177,1981,3407,4615,2462,6420,2119,1654,2802,2889
9/13/2009,1870,2410,4110,4495,2834,8542,2225,1985,3107,3487
9/20/2009,2195,2944,4482,4643,3217,10319,2303,2494,3692,4257
9/27/2009,2330,3114,5018,4978,3831,12711,2997,3278,4840,5388
10/4/2009,2209,3169,5820,4881,4841,12233,3910,4285,6299,7406
10/11/2009,2670,3752,6878,4443,6581,10928,5337,5561,7345,9739
10/18/2009,4205,5481,9169,4906,9384,9090,6112,5261,7874,10679
10/25/2009,6474,6902,8750,4320,8058,7226,3993,3402,7327,8944
11/1/2009,7776,7048,6702,3669,6300,6341,2774,2429,7550,7482
11/8/2009,6306,5966,5148,2942,4493,4993,1873,1662,5562,4994
11/15/2009,4126,4647,4052,2615,3329,4175,1461,1327,4581,3625
11/22/2009,2229,3160,2933,1968,2266,3369,1124,1067,3520,2565
11/29/2009,1856,2686,2956,2018,2154,3445,1213,1003,3394,2346
12/6/2009,1235,2289,2579,1723,1815,3180,1018,839,2762,1956
12/13/2009,1131,2048,2416,1574,1641,3013,908,835,2537,1787
12/20/2009,1058,1946,2289,1682,1731,3187,936,784,2605,1754
12/27/2009,1168,2051,2497,1806,1859,3318,1018,976,2787,1893
1/3/2010,1199,2040,2564,1758,1811,3290,964,865,2676,1964
1/10/2010,1005,1780,2306,1577,1590,2958,804,750,2199,1662
1/17/2010,884,1659,2274,1572,1515,3031,884,792,1958,1642
1/24/2010,978,1575,2252,1532,1592,2915,864,852,2009,1596
1/31/2010,1072,1536,2272,1507,1693,3054,1004,832,2084,1686
2/7/2010,1053,1547,2104,1566,1720,3045,1052,894,2303,1867
2/14/2010,1066,1462,2106,1696,1779,3358,1118,907,2303,1837
2/21/2010,976,1445,2128,1690,1677,3440,1053,893,2226,1885
2/28/2010,849,1321,2114,1703,1610,3297,978,881,2034,1859
3/7/2010,748,1258,2048,1619,1503,2923,991,754,2057,1780
3/14/2010,725,1109,1911,1434,1377,2353,831,697,1830,1662
3/21/2010,680,1083,1833,1266,1286,2402,779,649,1578,1506
3/28/2010,596,996,1717,1053,1172,2034,648,565,1426,1319
4/4/2010,561,925,1556,893,1085,1848,585,629,1392,1360
4/11/2010,522,812,1394,786,917,1710,527,475,1283,1094
4/18/2010,421,758,1369,707,806,1497,484,445,1053,954
4/25/2010,437,805,1388,717,837,1579,488,491,1085,984
5/2/2010,385,709,1306,657,847,1472,474,417,1091,927
5/9/2010,394,691,1300,634,840,1384,424,437,1034,902
5/16/2010,360,689,1285,629,819,1348,459,405,1010,871
5/23/2010,346,639,1258,603,734,1222,395,388,981,869
5/30/2010,321,601,1201,581,689,1213,399,366,996,871
6/6/2010,269,567,1066,514,616,1136,339,296,828,730
6/13/2010,278,556,1041,482,595,993,316,328,717,688
6/20/2010,267,515,983,466,549,992,323,290,761,635
6/27/2010,245,503,990,433,576,924,299,244,739,623
7/4/2010,226,531,955,424,557,984,301,268,742,576
7/11/2010,222,511,961,445,561,946,295,270,673,562
7/18/2010,212,544,932,437,537,953,295,241,645,563
7/25/2010,247,549,953,425,537,955,293,233,679,528
8/1/2010,232,568,971,424,560,972,291,238,708,529
8/8/2010,229,555,998,437,578,955,294,229,659,534
8/15/2010,278,601,981,482,606,1001,316,272,722,537
8/22/2010,241,604,1056,532,641,1113,388,276,731,525
8/29/2010,261,631,1092,615,693,1249,460,320,816,620
9/5/2010,299,656,1290,677,806,1430,446,349,944,719
9/12/2010,379,786,1513,748,947,1621,501,407,1098,907
9/19/2010,512,1055,1600,799,1049,1801,571,470,1116,992
9/26/2010,504,1080,1679,827,1082,1872,589,467,1130,1108
10/3/2010,534,1140,1756,885,1226,2046,644,496,1168,1264
10/10/2010,559,1196,1748,881,1177,2037,664,496,1172,1200
10/17/2010,646,1296,1885,1032,1302,2205,720,553,1281,1310
10/24/2010,683,1206,1899,1069,1281,2165,731,654,1445,1394
10/31/2010,751,1242,1951,1160,1352,2398,820,690,1532,1355
11/7/2010,711,1325,2044,1290,1452,2525,804,665,1526,1392
11/14/2010,767,1414,2048,1456,1536,2672,889,737,1624,1443
11/21/2010,667,1284,1853,1306,1350,2281,751,624,1434,1240
11/28/2010,820,1577,2227,1492,1568,2650,900,774,1777,1406
12/5/2010,854,1728,2147,1569,1499,2576,927,706,1699,1345
12/12/2010,898,1861,2255,1976,1428,2865,931,788,1841,1464
12/19/2010,1061,2329,2480,2642,1766,3490,1061,1012,1943,1541
12/26/2010,1388,2862,3096,2903,2146,3895,1314,1169,2299,1726
1/2/2011,1427,3050,3248,2785,2133,3798,1288,1048,2638,2024
1/9/2011,1135,2540,3044,2275,2050,3900,1200,1069,2613,1873
1/16/2011,1198,2482,3395,2663,2372,5116,1343,1262,2868,1931
1/23/2011,1317,2533,3818,3182,2977,6333,1767,1508,3116,2128
1/30/2011,1475,2331,3815,3680,2914,6066,1672,1561,3300,2124
2/6/2011,1686,2743,4084,3661,3106,5775,1797,1683,3677,2554
2/13/2011,1942,3248,4159,3772,3234,6711,2229,1880,3941,2941
2/20/2011,1776,2897,3861,3005,2937,5067,2153,1799,3462,2947
2/27/2011,1610,2469,3193,2021,2521,3801,1918,1627,3164,3264
3/6/2011,1246,1761,2695,1564,2193,3064,1621,1255,2728,2931
3/13/2011,993,1536,2338,1314,1874,2433,1279,1021,1961,2494
3/20/2011,904,1486,2039,1021,1610,2063,881,885,1548,2075
3/27/2011,804,1341,1886,908,1388,1854,774,701,1375,1696
4/3/2011,754,1116,1720,863,1185,1619,601,598,1191,1291
4/10/2011,638,922,1541,714,991,1471,489,488,1137,1164
4/17/2011,493,802,1360,665,901,1418,497,474,1014,1137
4/24/2011,436,720,1282,589,837,1278,492,415,1020,1103
5/1/2011,380,712,1193,596,807,1314,438,415,929,1029
5/8/2011,389,671,1152,591,728,1172,351,404,914,967
5/15/2011,358,624,1109,553,718,1186,376,353,920,862
5/22/2011,370,612,1128,506,640,1049,303,332,884,768
5/29/2011,306,562,1072,498,622,1012,311,348,880,857
6/5/2011,299,564,1056,456,575,1011,284,302,778,742
6/12/2011,256,500,964,432,527,894,263,252,720,680
6/19/2011,282,482,944,410,515,885,258,227,642,612
6/26/2011,215,439,895,363,475,784,228,197,576,597
7/3/2011,218,431,899,369,465,772,238,195,537,497
7/10/2011,215,451,833,366,446,768,241,167,533,450
7/17/2011,193,408,843,350,444,760,232,174,518,451
7/24/2011,204,401,788,354,437,765,229,207,506,422
7/31/2011,182,385,843,343,438,732,242,175,506,405
8/7/2011,189,427,828,352,474,796,237,198,502,388
8/14/2011,181,419,809,393,476,821,255,217,537,417
8/21/2011,214,423,852,469,554,952,295,247,625,475
8/28/2011,212,493,1066,557,639,1105,306,260,738,436
9/4/2011,264,607,1236,643,758,1409,392,303,850,539
